"Category_True_No_Larvae";"Incubation";"Previous_Experience";"Counting_error_mean";"Time_Sec_mean";"standard_deviation";"standard_error";"N"
"0-5";"no";"no";0.35;17.4;7.07;0.91;60
"5-10";"no";"no";2.78;23.12;10.05;2.37;18
"10-15";"no";"no";8;28.35;11.2;4.57;6
"+15";"no";"no";18.83;52.18;17.84;7.28;6
"0-5";"no";"yes";0.36;23.77;12.06;1.02;140
"5-10";"no";"yes";2.74;27.02;12.8;1.97;42
"10-15";"no";"yes";7.21;27.26;14.41;3.85;14
"+15";"no";"yes";15.64;62.98;29.04;7.76;14
"0-5";"yes";"no";0.32;17.49;5.4;0.7;60
"5-10";"yes";"no";1.06;21.01;9.57;2.26;18
"10-15";"yes";"no";6.5;26.82;18.07;7.38;6
"+15";"yes";"no";5.5;54.55;23.53;9.61;6
"0-5";"yes";"yes";0.26;22.98;11.09;0.94;140
"5-10";"yes";"yes";0.95;21.68;9.17;1.42;42
"10-15";"yes";"yes";5.07;31.2;20.33;5.43;14
"+15";"yes";"yes";6.43;41.67;27.49;7.35;14
